,"smt.arith.nl.grobner=false","-file:{0} smt.arith.nl.grobner=false",,,,,,
,"RV 11683","T_norm 11683","T_cpu 11683","T_wc 11683","# SAT 11683","# UNSAT 11683","# UNKNOWN 11683",
"QF_NIA_small\02.smt2",,1058.7044534413,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,844.570044408559,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,180.156074210299,199.016,207.074,0,1,0,
"QF_NIA_small\1008.smt2",0,0.321562232677502,0.359,0.546,1,0,0,
"QF_NIA_small\1010.smt2",0,0.313344226579521,0.344,0.532,1,0,0,
"QF_NIA_small\1018.smt2",0,0.133092426710098,0.156,0.253,1,0,0,
"QF_NIA_small\1021.smt2",0,0.132606490872211,0.156,0.246,1,0,0,
"QF_NIA_small\1034.smt2",0,0.143997797356828,0.156,0.241,1,0,0,
"QF_NIA_small\1063.smt2",0,0.0944335534461412,0.109,0.222,1,0,0,
"QF_NIA_small\107.smt2",0,0.0666547716150082,0.078,0.209,1,0,0,
"QF_NIA_small\1082.smt2",0,0.273994132439229,0.313,0.526,1,0,0,
"QF_NIA_small\1085.smt2",0,0.339928244592346,0.391,0.6,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0824608980827447,0.078,0.169,1,0,0,
"QF_NIA_small\1090.smt2",0,0.102744723843736,0.109,0.197,1,0,0,
"QF_NIA_small\1092.smt2",0,0.114142295940637,0.125,0.195,1,0,0,
"QF_NIA_small\11.smt2",,932.263814616756,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",0,0.454782608695652,0.5,0.682,1,0,0,
"QF_NIA_small\1112.smt2",0,0.076731220657277,0.094,0.22,1,0,0,
"QF_NIA_small\1113.smt2",0,0.0916716746794872,0.109,0.196,1,0,0,
"QF_NIA_small\1126.smt2",0,0.422137322427895,0.469,0.654,1,0,0,
"QF_NIA_small\1132.smt2",0,0.115147512109203,0.125,0.212,1,0,0,
"QF_NIA_small\1148.smt2",0,0.0849761698440208,0.094,0.204,1,0,0,
"QF_NIA_small\1152.smt2",0,0.087869623655914,0.094,0.201,1,0,0,
"QF_NIA_small\1176.smt2",0,0.331105796285875,0.281,0.456,1,0,0,
"QF_NIA_small\1188.smt2",0,0.32242249882574,0.328,0.493,1,0,0,
"QF_NIA_small\1190.smt2",0,0.361648936170213,0.406,0.627,1,0,0,
"QF_NIA_small\1192.smt2",0,0.344408524904215,0.344,0.586,1,0,0,
"QF_NIA_small\1198.smt2",0,0.136704228624535,0.141,0.243,1,0,0,
"QF_NIA_small\1199.smt2",0,0.117533959248901,0.141,0.284,1,0,0,
"QF_NIA_small\1221.smt2",0,0.164921796165489,0.156,0.283,1,0,0,
"QF_NIA_small\124.smt2",,903.281519861831,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,0.127188715953307,0.141,0.255,1,0,0,
"QF_NIA_small\1258.smt2",0,5.273091934085,5.813,6.084,1,0,0,
"QF_NIA_small\1260.smt2",0,5.6803154467894,6.047,6.361,1,0,0,
"QF_NIA_small\1268.smt2",0,0.0587376460017969,0.063,0.189,1,0,0,
"QF_NIA_small\127.smt2",0,145.753856981982,154.672,160.888,1,0,0,
"QF_NIA_small\1270.smt2",0,0.0613849765258216,0.063,0.167,1,0,0,
"QF_NIA_small\1283.smt2",0,0.0546157059314954,0.063,0.172,1,0,0,
"QF_NIA_small\1287.smt2",0,0.119406392694064,0.125,0.193,1,0,0,
"QF_NIA_small\1296.smt2",0,0.710282705099778,0.766,0.951,1,0,0,
"QF_NIA_small\1303.smt2",0,0.136134891254049,0.141,0.244,1,0,0,
"QF_NIA_small\1304.smt2",0,0.46992600422833,0.531,0.714,1,0,0,
"QF_NIA_small\1308.smt2",0,0.0791464891041162,0.094,0.178,1,0,0,
"QF_NIA_small\1324.smt2",0,0.0675640760644895,0.078,0.191,1,0,0,
"QF_NIA_small\1344.smt2",0,0.0691067653276956,0.078,0.205,1,0,0,
"QF_NIA_small\1349.smt2",0,0.0919910881801126,0.094,0.189,1,0,0,
"QF_NIA_small\1354.smt2",0,0.413044662309368,0.453,0.671,1,0,0,
"QF_NIA_small\1361.smt2",0,0.0868029210925645,0.109,0.285,1,0,0,
"QF_NIA_small\1367.smt2",0,0.0944335534461411,0.109,0.278,1,0,0,
"QF_NIA_small\1371.smt2",0,0.0951799084858569,0.109,0.238,1,0,0,
"QF_NIA_small\140.smt2",,913.53711790393,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,0.0742560199909132,0.078,0.156,1,0,0,
"QF_NIA_small\1422.smt2",0,0.0706603977518374,0.078,0.196,1,0,0,
"QF_NIA_small\1425.smt2",0,0.0528282828282828,0.063,0.174,1,0,0,
"QF_NIA_small\1430.smt2",0,0.05552016985138,0.063,0.167,1,0,0,
"QF_NIA_small\1448.smt2",0,0.101566545831176,0.094,0.19,1,0,0,
"QF_NIA_small\1458.smt2",0,0.121766349337748,0.141,0.261,1,0,0,
"QF_NIA_small\1460.smt2",0,0.141198704103672,0.156,0.264,1,0,0,
"QF_NIA_small\1468.smt2",0,0.0962812960235641,0.094,0.18,1,0,0,
"QF_NIA_small\1484.smt2",0,0.87883727929374,1.047,1.268,1,0,0,
"QF_NIA_small\1488.smt2",0,1.08728220696938,0.984,1.131,1,0,0,
"QF_NIA_small\149.smt2",0,0.123556278874422,0.141,0.256,1,0,0,
"QF_NIA_small\1500.smt2",0,0.0966677228559358,0.109,0.213,1,0,0,
"QF_NIA_small\1511.smt2",0,0.176689189189189,0.203,0.29,1,0,0,
"QF_NIA_small\1514.smt2",0,0.156549329501916,0.156,0.256,1,0,0,
"QF_NIA_small\1516.smt2",0,0.14308097890967,0.172,0.308,1,0,0,
"QF_NIA_small\1520.smt2",0,0.231826241134752,0.234,0.395,1,0,0,
"QF_NIA_small\1521.smt2",0,0.416675824175824,0.453,0.614,1,0,0,
"QF_NIA_small\1536.smt2",0,0.191715542521994,0.219,0.421,1,0,0,
"QF_NIA_small\1541.smt2",0,0.755618578767123,0.844,1.009,1,0,0,
"QF_NIA_small\1547.smt2",0,0.96096223428313,1.016,1.204,1,0,0,
"QF_NIA_small\1555.smt2",0,0.272157099035933,0.297,0.469,1,0,0,
"QF_NIA_small\1557.smt2",0,0.277383876730683,0.297,0.448,1,0,0,
"QF_NIA_small\1567.smt2",0,0.0700246358183376,0.078,0.206,1,0,0,
"QF_NIA_small\1574.smt2",0,118.689649163569,122.094,126.911,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0608932563338301,0.078,0.248,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0831390419669351,0.094,0.202,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0572210065645514,0.063,0.151,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0732575078440161,0.078,0.182,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0559477963200685,0.063,0.167,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0717145677928916,0.078,0.223,1,0,0,
"QF_NIA_small\1644.smt2",0,0.0763369920597851,0.078,0.173,1,0,0,
"QF_NIA_small\1648.smt2",0,1.78322249774572,1.891,2.08,0,1,0,
"QF_NIA_small\1649.smt2",0,0.954480533220482,1.078,1.228,0,1,0,
"QF_NIA_small\1662.smt2",0,0.0714949693788276,0.078,0.185,1,0,0,
"QF_NIA_small\1668.smt2",0,0.0701147576147576,0.078,0.176,1,0,0,
"QF_NIA_small\167.smt2",0,0.0709672166739036,0.078,0.158,1,0,0,
"QF_NIA_small\1677.smt2",0,0.0867425917735515,0.094,0.544,1,0,0,
"QF_NIA_small\1689.smt2",0,24.9859803657881,22.203,23.11,1,0,0,
"QF_NIA_small\1693.smt2",0,0.069223845828039,0.078,0.19,1,0,0,
"QF_NIA_small\1728.smt2",0,0.100312362998685,0.109,0.191,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0697556551429791,0.078,0.18,1,0,0,
"QF_NIA_small\1741.smt2",0,0.0752128393925449,0.078,0.176,1,0,0,
"QF_NIA_small\1757.smt2",0,0.0534983633387889,0.063,0.163,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0580337328007102,0.063,0.169,1,0,0,
"QF_NIA_small\1768.smt2",0,0.0564063848144953,0.063,0.161,1,0,0,
"QF_NIA_small\177.smt2",,920.369555653322,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0785002401536984,0.078,0.195,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0609273066169618,0.063,0.159,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0604764107308048,0.063,0.165,1,0,0,
