,"master, legacy lp solver","{0} smt.arith.solver=2",,,,,,
,"RV 11737","T_norm 11737","T_cpu 11737","T_wc 11737","# SAT 11737","# UNSAT 11737","# UNKNOWN 11737",
"QF_NIA_small\02.smt2",,852.485737571312,1000,1000,0,0,0,
"QF_NIA_small\04.smt2",,900.559621179509,1000,1000,0,0,0,
"QF_NIA_small\1.smt2",0,184.707064487237,197.156,204.971,0,1,0,
"QF_NIA_small\1008.smt2",0,0.12455016934801,0.141,0.247,1,0,0,
"QF_NIA_small\1010.smt2",0,0.150218290441176,0.156,0.262,1,0,0,
"QF_NIA_small\1018.smt2",0,13.8914662400706,15.047,15.667,1,0,0,
"QF_NIA_small\1021.smt2",0,5.46077159037282,5.531,5.832,1,0,0,
"QF_NIA_small\1034.smt2",0,27.0924771167048,28.297,29.481,1,0,0,
"QF_NIA_small\1063.smt2",0,0.107172131147541,0.125,0.243,1,0,0,
"QF_NIA_small\107.smt2",,901.724137931034,1000,1000,0,0,0,
"QF_NIA_small\1082.smt2",0,214.30130644343,201.906,209.98,1,0,0,
"QF_NIA_small\1085.smt2",0,0.404317316841104,0.406,0.562,0,1,0,
"QF_NIA_small\1089.smt2",0,0.0709056399132321,0.078,0.174,1,0,0,
"QF_NIA_small\1090.smt2",,993.35232668566,1000,1000,0,0,0,
"QF_NIA_small\1092.smt2",0,0.512572804659498,0.547,0.742,1,0,0,
"QF_NIA_small\11.smt2",,853.877551020408,1000,1000,0,0,0,
"QF_NIA_small\1104.smt2",,1011.60541586074,1000,1000,0,0,0,
"QF_NIA_small\1112.smt2",0,0.644617912900575,0.75,0.98,1,0,0,
"QF_NIA_small\1113.smt2",0,0.690113682501015,0.813,0.946,1,0,0,
"QF_NIA_small\1126.smt2",0,0.876947209000433,0.969,1.137,1,0,0,
"QF_NIA_small\1132.smt2",0,1.76996398410333,1.703,1.881,1,0,0,
"QF_NIA_small\1148.smt2",0,0.941124290348743,1.109,1.253,1,0,0,
"QF_NIA_small\1152.smt2",0,1.93975541299118,2.313,2.478,1,0,0,
"QF_NIA_small\1176.smt2",0,1.35228536476868,1.453,1.608,1,0,0,
"QF_NIA_small\1188.smt2",0,1.53659188034188,1.719,1.878,1,0,0,
"QF_NIA_small\1190.smt2",0,1.52270962732919,1.641,1.846,1,0,0,
"QF_NIA_small\1192.smt2",0,1.57647780623133,1.766,1.924,1,0,0,
"QF_NIA_small\1198.smt2",0,3.28131003842459,3.266,3.475,1,0,0,
"QF_NIA_small\1199.smt2",0,1.68520984235194,1.891,2.038,1,0,0,
"QF_NIA_small\1221.smt2",0,2.10459815398469,2.234,2.381,1,0,0,
"QF_NIA_small\124.smt2",,904.453091223519,1000,1000,0,0,0,
"QF_NIA_small\1244.smt2",0,2.72028227620333,2.891,3.064,1,0,0,
"QF_NIA_small\1258.smt2",0,2.94240998363339,3.438,3.667,1,0,0,
"QF_NIA_small\1260.smt2",,813.374805598756,1000,1000,0,0,0,
"QF_NIA_small\1268.smt2",0,0.111134721631959,0.125,0.248,1,0,0,
"QF_NIA_small\127.smt2",0,142.90905366653,166.75,173.376,1,0,0,
"QF_NIA_small\1270.smt2",0,0.198363675769397,0.219,0.377,1,0,0,
"QF_NIA_small\1283.smt2",0,0.334733971504898,0.359,0.493,1,0,0,
"QF_NIA_small\1287.smt2",0,0.508335296889727,0.516,0.684,1,0,0,
"QF_NIA_small\1296.smt2",0,0.0563092161929371,0.063,0.171,1,0,0,
"QF_NIA_small\1303.smt2",0,0.554520089285714,0.594,0.754,1,0,0,
"QF_NIA_small\1304.smt2",0,5.37623355263158,5.859,6.138,1,0,0,
"QF_NIA_small\1308.smt2",0,0.308372641509434,0.344,0.493,1,0,0,
"QF_NIA_small\1324.smt2",0,1.21116375638842,1.359,1.514,1,0,0,
"QF_NIA_small\1344.smt2",0,26.178673245614,28.531,29.709,1,0,0,
"QF_NIA_small\1349.smt2",,867.330016583748,1000,1000,0,0,0,
"QF_NIA_small\1354.smt2",0,26.0554612182296,28.422,29.579,1,0,0,
"QF_NIA_small\1361.smt2",0,0.0760882216014898,0.078,0.2,1,0,0,
"QF_NIA_small\1367.smt2",0,0.087516733601071,0.094,0.199,1,0,0,
"QF_NIA_small\1371.smt2",0,32.4007675438597,33.547,34.96,1,0,0,
"QF_NIA_small\140.smt2",,985.398021667452,1000,1000,0,0,0,
"QF_NIA_small\1410.smt2",0,2.07063674093491,2.266,2.455,1,0,0,
"QF_NIA_small\1422.smt2",0,3.69995838535164,4.25,4.629,1,0,0,
"QF_NIA_small\1425.smt2",0,4.05601034037053,4.5,4.71,1,0,0,
"QF_NIA_small\1430.smt2",0,4.83921089385475,4.969,5.206,1,0,0,
"QF_NIA_small\1448.smt2",0,24.5705619747899,27.953,29.089,1,0,0,
"QF_NIA_small\1458.smt2",0,18.5688192904656,20.016,20.851,1,0,0,
"QF_NIA_small\1460.smt2",0,41.9391934139225,48.094,50.012,1,0,0,
"QF_NIA_small\1468.smt2",0,20.68984082397,23.766,24.796,1,0,0,
"QF_NIA_small\1484.smt2",0,2.93804277029961,3.234,3.436,1,0,0,
"QF_NIA_small\1488.smt2",0,18.4236140277194,20.969,21.825,1,0,0,
"QF_NIA_small\149.smt2",0,8.18700810185185,8.453,8.81,1,0,0,
"QF_NIA_small\1500.smt2",0,52.3163915587129,59.844,62.315,1,0,0,
"QF_NIA_small\1511.smt2",0,353.513915598291,395.422,411.333,1,0,0,
"QF_NIA_small\1514.smt2",,868.410128684101,1000,1000,0,0,0,
"QF_NIA_small\1516.smt2",0,631.756645501507,701.516,729.196,0,0,1,
"QF_NIA_small\1520.smt2",0,183.774205667669,204.594,212.859,1,0,0,
"QF_NIA_small\1521.smt2",0,100.533066860465,107.453,111.752,1,0,0,
"QF_NIA_small\1536.smt2",,924.028268551237,1000,1000,0,0,0,
"QF_NIA_small\1541.smt2",0,323.166885128694,324.094,337.054,1,0,0,
"QF_NIA_small\1547.smt2",0,659.523233809924,749.688,780.194,1,0,0,
"QF_NIA_small\1555.smt2",,777.406168710516,1000,1000,0,0,0,
"QF_NIA_small\1557.smt2",,938.958707360862,1000,1000,0,0,0,
"QF_NIA_small\1567.smt2",0,0.0691652560304697,0.078,0.185,1,0,0,
"QF_NIA_small\1574.smt2",0,99.2837912087912,107.969,112.26,1,0,0,
"QF_NIA_small\1582.smt2",0,0.0414815989847716,0.047,0.162,1,0,0,
"QF_NIA_small\1586.smt2",0,0.0718090949033392,0.078,0.29,1,0,0,
"QF_NIA_small\1594.smt2",0,0.0671201232032854,0.078,0.162,1,0,0,
"QF_NIA_small\1607.smt2",0,0.0575991189427313,0.063,0.175,1,0,0,
"QF_NIA_small\1631.smt2",0,0.0560437205315045,0.063,0.183,1,0,0,
"QF_NIA_small\1640.smt2",0,0.0683552906733584,0.078,0.189,1,0,0,
"QF_NIA_small\1644.smt2",0,0.706756756756757,0.813,0.989,1,0,0,
"QF_NIA_small\1648.smt2",0,2.3537228376651,2.641,2.787,0,1,0,
"QF_NIA_small\1649.smt2",0,1.15302273693158,1.297,1.454,0,1,0,
"QF_NIA_small\1662.smt2",0,174.359753879728,171.859,178.729,1,0,0,
"QF_NIA_small\1668.smt2",0,9.90406795511222,11.391,12.421,1,0,0,
"QF_NIA_small\167.smt2",0,0.128627643876045,0.125,0.208,1,0,0,
"QF_NIA_small\1677.smt2",0,294.350394518272,338.813,352.357,1,0,0,
"QF_NIA_small\1689.smt2",0,23.7286009758167,26.734,27.81,1,0,0,
"QF_NIA_small\1693.smt2",0,0.0548908480268682,0.063,0.129,1,0,0,
"QF_NIA_small\1728.smt2",0,0.0849761698440208,0.094,0.197,1,0,0,
"QF_NIA_small\1734.smt2",0,0.0764441066417212,0.078,0.18,1,0,0,
"QF_NIA_small\1741.smt2",0,0.05652831820147,0.063,0.149,1,0,0,
"QF_NIA_small\1757.smt2",0,1.36020806241873,1.5,1.651,1,0,0,
"QF_NIA_small\1767.smt2",0,0.0686135600335852,0.078,0.164,1,0,0,
"QF_NIA_small\1768.smt2",0,59.5705225773719,56.125,58.341,1,0,0,
"QF_NIA_small\177.smt2",0,149.933008156966,162.547,169.028,1,0,0,
"QF_NIA_small\1775.smt2",0,0.149121806569343,0.156,0.263,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0580852954242559,0.063,0.161,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0542081260364842,0.063,0.205,1,0,0,
"QF_NIA_small\179.smt2",0,54.2827092001849,56.125,58.317,1,0,0,
"QF_NIA_small\1794.smt2",0,213.634699624531,244.781,254.386,1,0,0,
"QF_NIA_small\1805.smt2",0,0.330819384974698,0.406,0.565,0,1,0,
"QF_NIA_small\1809.smt2",0,4.10044378698225,4.969,5.212,0,1,0,
"QF_NIA_small\181.smt2",,883.445945945946,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,866.970576046415,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,903.671706263499,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,909.960852544585,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,2.22869318181818,2.484,2.631,1,0,0,
"QF_NIA_small\1852.smt2",0,2.22202330055579,2.484,2.678,1,0,0,
"QF_NIA_small\1858.smt2",0,3.54408747300216,3.922,4.116,1,0,0,
"QF_NIA_small\187.smt2",0,0.136254689453939,0.156,0.283,1,0,0,
"QF_NIA_small\1884.smt2",0,0.181237623762376,0.219,0.386,1,0,0,
"QF_NIA_small\1895.smt2",0,80.2091913234706,95.891,99.71,1,0,0,
"QF_NIA_small\1898.smt2",0,69.0038428693424,77.25,80.392,1,0,0,
"QF_NIA_small\1901.smt2",0,144.911430343117,167.563,174.355,1,0,0,
"QF_NIA_small\1917.smt2",0,0.0814810968009971,0.094,0.166,1,0,0,
"QF_NIA_small\192.smt2",0,130.108544562551,152.125,158.231,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0711525903352199,0.078,0.166,1,0,0,
"QF_NIA_small\1933.smt2",0,1.07852157360406,1.422,1.623,1,0,0,
"QF_NIA_small\1934.smt2",0,2.41113626325088,2.609,2.783,0,1,0,
"QF_NIA_small\199.smt2",0,0.212164647338814,0.234,0.392,1,0,0,
"QF_NIA_small\20.smt2",0,9.56101614434948,9.625,10.053,1,0,0,
"QF_NIA_small\203.smt2",0,7.28790741615494,7.375,7.666,1,0,0,
"QF_NIA_small\211.smt2",0,14.403284898162,13.859,14.431,1,0,0,
"QF_NIA_small\23.smt2",0,6.59496651318543,7.531,7.895,1,0,0,
"QF_NIA_small\250.smt2",0,0.0729631696428572,0.078,0.186,1,0,0,
"QF_NIA_small\257.smt2",0,0.0683552906733584,0.078,0.225,1,0,0,
"QF_NIA_small\264.smt2",0,6.48462773549001,6.516,6.814,1,0,0,
"QF_NIA_small\269.smt2",0,36.1356137653737,36.516,38.056,0,0,1,
"QF_NIA_small\281.smt2",0,115.804565317387,120.344,124.939,1,0,0,
"QF_NIA_small\307.smt2",0,54.856036558669,59.891,62.289,1,0,0,
"QF_NIA_small\310.smt2",0,200.318189034716,226.172,235.302,1,0,0,
"QF_NIA_small\322.smt2",0,0.0707828064097012,0.078,0.157,1,0,0,
"QF_NIA_small\34.smt2",0,52.0035284590467,53.719,55.845,1,0,0,
"QF_NIA_small\35.smt2",,950.477055883689,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,12.439463544754,10.031,10.497,1,0,0,
"QF_NIA_small\364.smt2",0,0.259539038376709,0.281,0.47,1,0,0,
"QF_NIA_small\367.smt2",0,0.110198061525495,0.125,0.227,1,0,0,
"QF_NIA_small\370.smt2",0,0.155506660323501,0.156,0.382,1,0,0,
"QF_NIA_small\377.smt2",0,0.30627129471891,0.344,0.515,1,0,0,
"QF_NIA_small\40.smt2",,941.070625281152,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.296773670557717,0.328,0.445,1,0,0,
"QF_NIA_small\424.smt2",0,25.5017539756782,26.063,27.151,1,0,0,
"QF_NIA_small\443.smt2",0,662.043222316504,745.906,775.403,1,0,0,
"QF_NIA_small\449.smt2",0,0.628331148973351,0.688,0.854,1,0,0,
"QF_NIA_small\455.smt2",0,0.395658752327747,0.406,0.622,1,0,0,
"QF_NIA_small\460.smt2",0,0.693413237165889,0.781,0.941,1,0,0,
"QF_NIA_small\466.smt2",,954.379562043796,1000,1000,0,0,0,
"QF_NIA_small\485.smt2",0,32.766265060241,32.5,33.823,1,0,0,
"QF_NIA_small\496.smt2",0,0.0480698529411765,0.047,0.147,1,0,0,
"QF_NIA_small\498.smt2",0,0.0590560072267389,0.063,1.257,1,0,0,
"QF_NIA_small\500.smt2",0,0.057828394515701,0.063,0.185,1,0,0,
"QF_NIA_small\507.smt2",0,20.2685931899642,21.625,22.534,1,0,0,
"QF_NIA_small\514.smt2",0,0.0872442170818506,0.094,0.226,1,0,0,
"QF_NIA_small\520.smt2",0,0.10151397515528,0.109,0.272,1,0,0,
"QF_NIA_small\527.smt2",0,0.0706603977518374,0.078,0.245,1,0,0,
"QF_NIA_small\535.smt2",0,0.083528534923339,0.094,0.244,1,0,0,
"QF_NIA_small\54.smt2",,960.955443270556,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.118112014453478,0.125,0.255,1,0,0,
"QF_NIA_small\551.smt2",,864.105741429162,1000,1000,0,0,0,
"QF_NIA_small\572.smt2",0,208.819019343781,203.828,211.873,1,0,0,
"QF_NIA_small\573.smt2",0,11.7290441176471,11.438,11.913,1,0,0,
"QF_NIA_small\574.smt2",0,10.447501039069,12.016,12.511,1,0,0,
"QF_NIA_small\58.smt2",,963.16758747698,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,8.35530233623454,8.719,9.098,1,0,0,
"QF_NIA_small\586.smt2",0,12.2424518327068,12.453,12.964,0,1,0,
"QF_NIA_small\599.smt2",0,0.165849861623616,0.172,0.296,1,0,0,
"QF_NIA_small\604.smt2",0,1.30489021956088,1.563,1.735,0,1,0,
"QF_NIA_small\624.smt2",0,0.223231707317073,0.219,0.411,1,0,0,
"QF_NIA_small\625.smt2",0,268.821622109827,266.766,277.509,1,0,0,
"QF_NIA_small\65.smt2",,975.291375291375,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.294723360655738,0.344,0.561,1,0,0,
"QF_NIA_small\673.smt2",0,24.9520850451931,29.031,30.247,1,0,0,
"QF_NIA_small\677.smt2",0,0.362493972999036,0.359,0.535,1,0,0,
"QF_NIA_small\701.smt2",0,0.0575484154929578,0.063,0.168,1,0,0,
"QF_NIA_small\706.smt2",0,0.0583444890673806,0.063,0.159,1,0,0,
"QF_NIA_small\707.smt2",0,0.0782371948300622,0.078,0.176,1,0,0,
"QF_NIA_small\709.smt2",0,0.0566017316017316,0.063,0.177,1,0,0,
"QF_NIA_small\711.smt2",0,0.0806766762649116,0.094,0.203,1,0,0,
"QF_NIA_small\722.smt2",0,0.123608193277311,0.141,0.293,1,0,0,
"QF_NIA_small\73.smt2",,845.252525252525,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0991388648180243,0.109,0.214,1,0,0,
"QF_NIA_small\74.smt2",0,0.795554013663536,0.891,1.045,1,0,0,
"QF_NIA_small\75.smt2",0,0.0426544149630274,0.047,0.159,1,0,0,
"QF_NIA_small\750.smt2",0,0.185319450501526,0.203,0.36,1,0,0,
"QF_NIA_small\781.smt2",0,0.172417582417582,0.188,0.296,1,0,0,
"QF_NIA_small\788.smt2",0,0.179355281207133,0.188,0.362,1,0,0,
"QF_NIA_small\798.smt2",0,0.35664729601518,0.359,0.503,1,0,0,
"QF_NIA_small\808.smt2",0,359.017941050833,401.75,418.016,1,0,0,
